path,offset_sec,vstart_sec
2015-02-16-16-49-06_denoised_1714,-2.0,2.32
2015-02-16-16-49-06_denoised_1147,0.67,1.2
2015-02-16-16-49-06_denoised_288,0.0,1.08
2015-02-16-16-49-06_denoised_385,0.0,2.56
2015-02-16-16-49-06_denoised_743,2.0,0.32
2015-02-16-16-49-06_denoised_1640,0.0,2.28
2015-02-16-16-49-06_denoised_1572,0.0,0.28
2015-02-16-16-49-06_denoised_198,0.33,2.12
2015-02-16-16-49-06_denoised_562,0.0,1.0
2015-02-16-16-49-06_denoised_86,0.0,0.88
2015-02-16-16-49-06_denoised_1754,0.0,1.96
2015-02-16-16-49-06_denoised_675,0.0,0.68
2015-02-16-16-49-06_denoised_944,0.0,0.0
2015-02-16-16-49-06_denoised_622,0.0,1.96
2015-02-16-16-49-06_denoised_763,0.0,0.8
2015-02-16-16-49-06_denoised_1458,-0.67,1.4
2015-02-16-16-49-06_denoised_604,2.0,0.56
2015-02-16-16-49-06_denoised_807,-1.33,1.48
2015-02-16-16-49-06_denoised_513,-0.33,1.76
2015-02-16-16-49-06_denoised_220,0.0,0.8
2015-02-16-16-49-06_denoised_1217,0.0,1.04
2015-02-16-16-49-06_denoised_1318,-1.33,2.16
2015-02-16-16-49-06_denoised_409,-0.67,2.56
2015-02-16-16-49-06_denoised_1358,0.0,1.16
2015-02-16-16-49-06_denoised_1280,0.0,0.88
2015-02-16-16-49-06_denoised_1771,1.67,0.44
2015-02-16-16-49-06_denoised_70,0.0,2.04
2015-02-16-16-49-06_denoised_353,0.0,0.04
2015-02-16-16-49-06_denoised_1077,1.0,1.08
2015-02-16-16-49-06_denoised_1000,-2.0,2.12
2015-02-16-16-49-06_denoised_103,-1.33,2.88
2015-02-16-16-49-06_denoised_1300,1.33,1.36
2015-02-16-16-49-06_denoised_153,0.0,2.12
2015-02-16-16-49-06_denoised_839,0.33,0.52
2015-02-16-16-49-06_denoised_958,0.0,0.0
2015-02-16-16-49-06_denoised_1737,-2.0,2.12
2015-02-16-16-49-06_denoised_1532,-2.0,2.52
2015-02-16-16-49-06_denoised_727,-0.33,1.96
2015-02-16-16-49-06_denoised_1682,-2.0,2.08
2015-02-16-16-49-06_denoised_1546,0.0,0.96
2015-02-16-16-49-06_denoised_535,0.0,2.8
2015-02-16-16-49-06_denoised_1116,-1.67,1.72
2015-02-16-16-49-06_denoised_1252,0.33,2.44
2015-02-16-16-49-06_denoised_853,0.0,2.48
2015-02-16-16-49-06_denoised_268,0.0,0.92
2015-02-16-16-49-06_denoised_243,0.0,2.16
2015-02-16-16-49-06_denoised_640,-0.67,2.48
2015-02-16-16-49-06_denoised_1198,0.67,0.04
2015-02-16-16-49-06_denoised_1620,1.33,1.32
2015-02-16-16-49-06_denoised_972,1.67,1.2
2015-02-16-16-49-06_denoised_1019,0.0,0.0
2015-02-16-16-49-06_denoised_1102,1.0,0.6
2015-02-16-16-49-06_denoised_710,0.0,2.04
2015-02-16-16-49-06_denoised_492,0.0,0.2
2015-02-16-16-49-06_denoised_1588,1.33,1.24
2015-02-16-16-49-06_denoised_303,2.0,0.24
2015-02-16-16-49-06_denoised_985,0.33,2.04
2015-02-16-16-49-06_denoised_914,0.0,0.64
2015-02-16-16-49-06_denoised_930,-1.0,2.52
2015-02-16-16-49-06_denoised_1044,-0.33,2.92
2015-02-16-16-49-06_denoised_882,0.0,0.88
2015-02-16-16-49-06_denoised_653,-1.0,2.44
2015-02-16-16-49-06_denoised_1386,0.0,2.88
2015-02-16-16-49-06_denoised_1419,-1.0,1.8
2015-02-16-16-49-06_denoised_130,-1.0,1.68
2015-02-16-16-49-06_denoised_868,0.0,0.2
2015-02-16-16-49-06_denoised_455,0.0,0.0
2015-02-16-16-49-06_denoised_792,0.0,2.12
2015-02-16-16-49-06_denoised_1182,-2.0,2.8
2015-02-16-16-49-06_denoised_339,-0.67,2.48
2015-02-16-16-49-06_denoised_177,-1.67,1.68
2015-02-16-16-49-06_denoised_1490,0.0,0.68
2015-02-16-16-49-06_denoised_590,0.0,0.28
2015-02-16-16-56-35_denoised_1008,0.0,2.88
2015-02-16-16-56-35_denoised_807,1.0,1.88
2015-02-16-16-56-35_denoised_1094,1.67,0.12
2015-02-16-16-56-35_denoised_723,0.0,0.88
2015-02-16-16-56-35_denoised_80,0.0,1.68
2015-02-16-16-56-35_denoised_105,0.0,2.56
2015-02-16-16-56-35_denoised_162,0.0,1.6
2015-02-16-16-56-35_denoised_620,0.0,0.44
2015-02-16-16-56-35_denoised_491,0.0,2.12
2015-02-16-16-56-35_denoised_514,-1.67,1.88
2015-02-16-16-56-35_denoised_682,1.33,0.92
2015-02-16-16-56-35_denoised_669,2.0,0.0
2015-02-16-16-56-35_denoised_601,0.0,2.68
2015-02-16-16-56-35_denoised_361,0.33,2.36
2015-02-16-16-56-35_denoised_563,1.33,1.0
2015-02-16-16-56-35_denoised_944,0.0,0.56
2015-02-16-16-56-35_denoised_322,-0.33,2.08
2015-02-16-16-56-35_denoised_1026,0.0,0.52
2015-02-16-16-56-35_denoised_890,0.33,1.76
2015-02-16-16-56-35_denoised_233,0.0,0.88
2015-02-16-16-56-35_denoised_761,0.0,2.48
2015-02-16-16-56-35_denoised_745,0.0,2.36
2015-02-16-16-56-35_denoised_185,-1.0,1.4
2015-02-16-16-56-35_denoised_1044,0.0,1.88
2015-02-16-16-56-35_denoised_535,0.0,1.24
2015-02-16-16-56-35_denoised_958,0.0,1.12
2015-02-16-16-56-35_denoised_452,-1.0,2.92
2015-02-16-16-56-35_denoised_794,-1.0,2.56
2015-02-16-16-56-35_denoised_822,-1.0,1.68
2015-02-16-16-56-35_denoised_703,0.0,2.28
2015-02-16-16-56-35_denoised_288,-0.33,2.96
2015-02-16-16-56-35_denoised_465,-0.33,2.0
2015-02-16-16-56-35_denoised_1057,0.0,1.64
2015-02-16-16-56-35_denoised_250,0.0,1.84
2015-02-16-16-56-35_denoised_211,-1.67,2.84
2015-02-16-16-56-35_denoised_586,-1.67,2.96
2015-02-16-16-56-35_denoised_346,1.0,1.52
2015-02-16-16-56-35_denoised_374,1.67,0.76
2015-02-16-16-56-35_denoised_778,0.0,2.52
2015-02-16-16-56-35_denoised_132,0.0,0.68
2015-02-16-16-56-35_denoised_640,2.0,0.28
2015-02-16-16-56-35_denoised_918,0.0,1.6
2015-02-16-16-56-35_denoised_310,2.0,0.56
2015-02-16-16-56-35_denoised_1071,0.0,1.36
2015-02-16-16-56-35_denoised_437,1.0,1.2
2015-02-16-16-56-35_denoised_987,-1.67,2.68
2015-02-16-16-58-57_denoised_395,0.0,1.56
2015-02-16-16-58-57_denoised_719,0.0,2.04
2015-02-16-16-58-57_denoised_411,1.33,1.52
2015-02-16-16-58-57_denoised_691,-1.67,2.2
2015-02-16-16-58-57_denoised_777,0.0,2.48
2015-02-16-16-58-57_denoised_539,0.0,1.2
2015-02-16-16-58-57_denoised_854,0.0,2.16
2015-02-16-16-58-57_denoised_231,0.0,1.4
2015-02-16-16-58-57_denoised_493,2.0,0.76
2015-02-16-16-58-57_denoised_178,0.0,0.6
2015-02-16-16-58-57_denoised_359,1.67,0.32
2015-02-16-16-58-57_denoised_123,1.33,1.16
2015-02-16-16-58-57_denoised_379,0.67,0.12
2015-02-16-16-58-57_denoised_664,1.67,0.28
2015-02-16-16-58-57_denoised_556,-1.33,2.24
2015-02-16-16-58-57_denoised_282,0.0,2.88
2015-02-16-16-58-57_denoised_194,0.0,0.68
2015-02-16-16-58-57_denoised_160,0.0,1.76
2015-02-16-16-58-57_denoised_75,0.0,2.08
2015-02-16-16-58-57_denoised_207,0.0,1.88
2015-02-16-16-58-57_denoised_146,-1.33,1.36
2015-02-16-16-58-57_denoised_455,-0.33,2.6
2015-02-16-16-58-57_denoised_706,-1.0,2.36
2015-02-16-16-58-57_denoised_872,0.0,1.8
2015-02-16-16-58-57_denoised_299,2.0,0.36
2015-02-16-16-58-57_denoised_945,0.0,1.8
2015-02-16-16-58-57_denoised_977,0.0,0.48
2015-02-16-16-58-57_denoised_922,0.0,0.6
2015-02-16-16-58-57_denoised_471,0.0,0.8
2015-02-16-16-58-57_denoised_579,0.0,2.96
2015-02-16-16-58-57_denoised_741,-1.67,2.04
2015-02-16-16-58-57_denoised_344,0.0,2.2
2015-02-16-16-58-57_denoised_101,-1.67,1.96
2015-02-16-16-58-57_denoised_634,0.0,1.84
2015-02-16-16-58-57_denoised_515,0.0,0.88
2015-02-16-16-58-57_denoised_328,0.0,0.76
2015-02-16-16-58-57_denoised_607,0.0,0.76
2015-02-16-16-58-57_denoised_434,2.0,0.56
2015-02-16-16-58-57_denoised_792,0.0,0.2
2015-02-16-16-58-57_denoised_810,0.0,1.28
2015-02-16-16-58-57_denoised_267,-0.33,1.4
2015-02-16-17-02-05_denoised_362,-0.67,2.04
2015-02-16-17-02-05_denoised_194,0.0,2.64
2015-02-16-17-02-05_denoised_979,1.33,0.24
2015-02-16-17-02-05_denoised_169,-0.67,2.44
2015-02-16-17-02-05_denoised_330,2.0,0.88
2015-02-16-17-02-05_denoised_493,0.0,1.08
2015-02-16-17-02-05_denoised_703,0.0,2.12
2015-02-16-17-02-05_denoised_214,-0.67,1.6
2015-02-16-17-02-05_denoised_442,0.0,1.04
2015-02-16-17-02-05_denoised_665,0.0,2.24
2015-02-16-17-02-05_denoised_508,0.0,0.24
2015-02-16-17-02-05_denoised_756,-1.33,2.48
2015-02-16-17-02-05_denoised_681,-1.0,1.6
2015-02-16-17-02-05_denoised_867,0.33,1.92
2015-02-16-17-02-05_denoised_527,-0.33,1.56
2015-02-16-17-02-05_denoised_314,-0.67,1.36
